Name	Data type	Initial value	AT	Retain	Constant	Network Publish	Comment
MF[30]	BOOL			False	False	Do not publish	MF030_ Spare
MF[31]	BOOL			False	False	Do not publish	MF031_ ST2 STOPPER-1 Motion Fault
MF[32]	BOOL			False	False	Do not publish	MF032_ Spare
MF[33]	BOOL			False	False	Do not publish	MF033_ Spare
MF[34]	BOOL			False	False	Do not publish	MF034_ Spare
MF[35]	BOOL			False	False	Do not publish	MF035_ Spare
MF[36]	BOOL			False	False	Do not publish	MF036_ Spare
MF[37]	BOOL			False	False	Do not publish	MF037_ Spare
MF[38]	BOOL			False	False	Do not publish	MF038_ Spare
MF[39]	BOOL			False	False	Do not publish	MF039_ Spare
MF[40]	BOOL			False	False	Do not publish	MF040_ Spare
MF[41]	BOOL			False	False	Do not publish	MF041_ Spare
MF[42]	BOOL			False	False	Do not publish	MF042_ Spare
MF[43]	BOOL			False	False	Do not publish	MF043_ Spare
MF[44]	BOOL			False	False	Do not publish	MF044_ Spare
MF[45]	BOOL			False	False	Do not publish	MF045_ Spare
MF[46]	BOOL			False	False	Do not publish	MF046_ Spare
MF[47]	BOOL			False	False	Do not publish	MF047_ Spare
MF[48]	BOOL			False	False	Do not publish	MF048_ Spare
MF[49]	BOOL			False	False	Do not publish	MF049_ Spare
MF[50]	BOOL			False	False	Do not publish	MF050_ Spare
MF[51]	BOOL			False	False	Do not publish	MF051_ Spare
MF[52]	BOOL			False	False	Do not publish	MF052_ Spare
MF[53]	BOOL			False	False	Do not publish	MF053_ Spare
MF[54]	BOOL			False	False	Do not publish	MF054_ Spare
MF[55]	BOOL			False	False	Do not publish	MF055_ Spare
MF[56]	BOOL			False	False	Do not publish	MF056_ Spare
MF[57]	BOOL			False	False	Do not publish	MF057_ Spare
MF[58]	BOOL			False	False	Do not publish	MF058_ Spare
MF[59]	BOOL			False	False	Do not publish	MF059_ Spare
MF[60]	BOOL			False	False	Do not publish	MF060_ Spare
MF[61]	BOOL			False	False	Do not publish	MF061_ ST3 EJECTOR Motion Fault
MF[62]	BOOL			False	False	Do not publish	MF062_ ST3 PUSHER Motion Fault
MF[63]	BOOL			False	False	Do not publish	MF063_ Spare
MF[64]	BOOL			False	False	Do not publish	MF064_ Spare
MF[65]	BOOL			False	False	Do not publish	MF065_ Spare
MF[66]	BOOL			False	False	Do not publish	MF066_ Spare
MF[67]	BOOL			False	False	Do not publish	MF067_ Spare
MF[68]	BOOL			False	False	Do not publish	MF068_ Spare
MF[69]	BOOL			False	False	Do not publish	MF069_ Spare
MF[70]	BOOL			False	False	Do not publish	MF070_ Spare
MF[71]	BOOL			False	False	Do not publish	MF071_ Spare
MF[72]	BOOL			False	False	Do not publish	MF072_ Spare
MF[73]	BOOL			False	False	Do not publish	MF073_ Spare
MF[74]	BOOL			False	False	Do not publish	MF074_ Spare
MF[75]	BOOL			False	False	Do not publish	MF075_ Spare
MF[76]	BOOL			False	False	Do not publish	MF076_ Spare
MF[77]	BOOL			False	False	Do not publish	MF077_ Spare
MF[78]	BOOL			False	False	Do not publish	MF078_ Spare
MF[79]	BOOL			False	False	Do not publish	MF079_ Spare
MF[80]	BOOL			False	False	Do not publish	MF080_ Spare
MF[81]	BOOL			False	False	Do not publish	MF081_ Spare
MF[82]	BOOL			False	False	Do not publish	MF082_ Spare
MF[83]	BOOL			False	False	Do not publish	MF083_ Spare
MF[84]	BOOL			False	False	Do not publish	MF084_ Spare
MF[85]	BOOL			False	False	Do not publish	MF085_ Spare
MF[86]	BOOL			False	False	Do not publish	MF086_ Spare
MF[87]	BOOL			False	False	Do not publish	MF087_ Spare
MF[88]	BOOL			False	False	Do not publish	MF088_ Spare
MF[89]	BOOL			False	False	Do not publish	MF089_ Spare
MF[90]	BOOL			False	False	Do not publish	MF090_ Spare
